itemID;scaleID;type;polarity;item_de;item_en
GHQ01;GHQ;GHQ;1;Ich habe wegen Sorgen weniger geschlafen.;
GHQ02;GHQ;GHQ;1;Ich habe das Gefühl, dauernd unter Druck zu stehen.;
GHQ03;GHQ;GHQ;1;Ich kann mich auf das, was ich gemacht haben, konzentrieren.;
GHQ04;GHQ;GHQ;1;Ich habe das Gefühl, für etwas nützlich zu sein.;
GHQ05;GHQ;GHQ;1;Ich habe das Gefühl, mich mit meinen Problemen auseinander zu setzen.;
GHQ06;GHQ;GHQ;1;Es fällt mir schwer, Entscheidungen zu treffen.;
GHQ07;GHQ;GHQ;1;Ich habe den Eindruck, dass ich mit meinen Schwierigkeiten nicht zu Rande komme.;
GHQ08;GHQ;GHQ;1;Alles in allem, fühle ich mich einigermaßen zufrieden.;
GHQ09;GHQ;GHQ;1;Ich kann meinen Alltagsverpflichtungen mit Freude nachgehen.;
GHQ10;GHQ;GHQ;1;Ich fühle mich unglücklich und deprimiert.;
GHQ11;GHQ;GHQ;1;Ich spüre einen Mangel an Selbstvertrauen.;
GHQ12;GHQ;GHQ;1;Ich fühle mich wertlos.;
ADS01;ADS;ADS;1;Es haben mich Dinge beunruhigt die mir sonst nichts ausmachen.;I was bothered by things that usually don't bother me.
ADS02;ADS;ADS;1;Ich habe kaum Appetit.;"I did not feel like eating; my appetite was poor."
ADS03;ADS;ADS;1;Ich kann meine trübsinnige Laune nicht loswerden, obwohl meine Freunde oder Familie versuchten, mich aufzumuntern.;I felt that I could not shake off the blues even with help from my family or friends.
ADS04;ADS;ADS;-1;Ich komme mir genauso gut vor wie andere.;I felt that I was just as good as other people.
ADS05;ADS;ADS;1;Ich habe Mühe, mich zu konzentrieren.;I had trouble keeping my mind on what I was doing.
ADS06;ADS;ADS;1;Ich bin deprimiert oder niedergeschlagen.;I felt depressed.
ADS07;ADS;ADS;1;Alles ist anstrengend für mich.;I felt that everything I did was an effort.
ADS08;ADS;ADS;-1;Ich denke voller Hoffnung an die Zukunft.;I felt hopeful about the future.
