itemID,scaleID,type,item,embedding
PID5BF01,PID,emotional lability,Ich reagiere viel emotionaler als fast alle anderen Menschen.,"[ 0.01159378  0.01188478 -0.02652619 ...  0.00303809 -0.05414582
  0.00445719]"
PID5BF02,PID,manipulativeness,"Ich bin gut darin, Leute reinzulegen.","[-0.01796216  0.00397722 -0.06136055 ... -0.03186563 -0.02987088
 -0.03962695]"
PID5BF03,PID,irresponsibility,Ich gehe oft ziemlich nachlÃ¤ssig mit meinen Sachen und denen anderer um.,"[-0.031834    0.02594816 -0.03509634 ... -0.06463616 -0.03400927
 -0.02916699]"
PID5BF04,PID,withdrawal,Ich halte Abstand zu Menschen.,"[-0.01502808  0.0208879  -0.07353368 ...  0.00034061 -0.03515533
 -0.01113562]"
PID5BF05,PID,unusual beliefs,"Ich sehe zwischen den Dingen oft ungewÃ¶hnliche ZusammenhÃ¤nge, die anderen Menschen entgehen.","[-0.04038553  0.01034589 -0.06668469 ...  0.02306702 -0.0367093
 -0.02920889]"
PID5BF06,PID,perfectionism,"Auch wenn es andere zum Wahnsinn treibt, bestehe ich darauf, alles perfekt zu machen.","[-0.02170768  0.04077773 -0.03180719 ...  0.00113675 -0.03493619
 -0.00632152]"
PID5BF07,PID,anxiousness,Ich mache mir stÃ¤ndig Ã¼ber irgendetwas Sorgen.,"[-0.02047697  0.0303888  -0.06165186 ... -0.03877159  0.00928846
 -0.00419351]"
PID5BF08,PID,deceitfulness,"Manchmal muss man vor anderen Ã¼bertreiben, um weiterzukommen.","[-0.03510771  0.00885635 -0.02104435 ... -0.0132734  -0.00433828
 -0.03071854]"
PID5BF09,PID,impulsivity,"Es kommt mir vor, als wÃ¼rde ich vÃ¶llig impulsiv handeln.","[-0.02655277  0.01183708 -0.03536814 ... -0.05222576 -0.02413952
 -0.00748422]"
PID5BF10,PID,anhedonia,Nichts scheint mich wirklich zu interessieren.,"[-0.00719802  0.02022229 -0.03320929 ... -0.0206055  -0.0033168
 -0.02701119]"
PID5BF11,PID,eccentricity,"Man hat mir gesagt, dass meine Art zu denken wirklich seltsam ist.","[-0.02550039  0.00856883 -0.01223388 ... -0.05135408 -0.02260475
 -0.0403243 ]"
PID5BF12,PID,rigidity,"Es ist mir wichtig, dass Dinge auf eine ganz bestimmte Weise erledigt werden.","[-0.00136328  0.02205487 -0.06087177 ... -0.02072706 -0.02289551
 -0.05474967]"
PID5BF13,PID,separation insecurity,"Ich mache mir viele Sorgen darÃ¼ber, allein zu sein.","[-0.00450111  0.04126237 -0.07435144 ... -0.01489426 -0.02772896
  0.00472664]"
PID5BF14,PID,grandiosity,"Es steht mir zu, besonders behandelt zu werden.","[-0.00449595  0.02171545 -0.05855273 ... -0.00583345 -0.01604017
 -0.02039489]"
PID5BF15,PID,distractibility,"Ich verliere in GesprÃ¤chen den Faden, weil mich andere Dinge ablenken.","[-0.01561612  0.01517287 -0.06758671 ... -0.05057966  0.00314673
 -0.01922825]"
PID5BF16,PID,intimacy avoidance,Ich halte romantische GefÃ¼hle lieber aus meinem Leben heraus.,"[-0.05426803  0.0034231  -0.03313664 ... -0.00307084 -0.01871059
 -0.00210712]"
PID5BF17,PID,perceptual dysregulation,"Es ist komisch, aber manchmal kommt es mir vor, dass alltÃ¤gliche GegenstÃ¤nde eine andere Form haben als sonst.","[-0.02800848  0.02173966 -0.04143577 ... -0.01978033 -0.0590722
 -0.03912524]"
PID5BF18,PID,perfectionism,"Ich versuche Dinge weiter zu perfektionieren, auch wenn ich sie wahrscheinlich schon so gut wie mÃ¶glich hinbekommen habe.","[-0.02519538  0.04963216 -0.02702255 ... -0.05524065 -0.02682363
 -0.02357718]"
PID5BF19,PID,emotional lability,"Ich werde schnell emotional, oft aus geringstem Anlass.","[-0.01323755  0.03573897 -0.02865705 ... -0.01154473 -0.04863827
 -0.05095413]"
PID5BF20,PID,manipulativeness,"Es fÃ¤llt mir leicht, andere auszunutzen.","[-0.03596184  0.05020971 -0.06921672 ... -0.011317   -0.01851695
 -0.03800311]"
PID5BF21,PID,irresponsibility,"Ich vergesse oft, meine Rechnungen zu bezahlen.","[-0.03480788  0.04310742 -0.03768028 ... -0.02988671 -0.07645095
 -0.04751018]"
PID5BF22,PID,withdrawal,"Ich mag es nicht, Zeit mit anderen zu verbringen.","[-0.00167267  0.03005918 -0.05206513 ...  0.0071844  -0.05312925
 -0.02090136]"
PID5BF23,PID,unusual beliefs,"Ich hatte einige wirklich seltsame Erlebnisse, die sehr schwer zu erklÃ¤ren sind.","[-0.0001816   0.01240763 -0.04022264 ... -0.0094713  -0.02646262
 -0.00669341]"
PID5BF24,PID,rigidity,Ich habe fÃ¼r viele alltÃ¤gliche Verhaltensweisen strikte Regeln.,"[-0.01730236 -0.00121778 -0.06459507 ... -0.03110854 -0.01887042
 -0.00247051]"
PID5BF25,PID,anxiousness,Ich mache mir Ã¼ber fast alles Sorgen.,"[ 0.00395453  0.03384106 -0.05853776 ... -0.02707675 -0.00700682
  0.00866677]"
PID5BF26,PID,deceitfulness,"Ich biege mir die Wahrheit zurecht, wenn es zu meinem Vorteil ist.","[-0.01775013  0.02081044 -0.05227358 ... -0.04810414 -0.03260169
 -0.06465288]"
PID5BF27,PID,impulsivity,"Obwohl ich es eigentlich besser weiÃ, treffe ich immer wieder Ã¼berstÃ¼rzte Entscheidungen.","[-0.02720346  0.00520996 -0.04311318 ... -0.03382621  0.0087318
 -0.0149063 ]"
PID5BF28,PID,anhedonia,Ich bin selten von irgendetwas begeistert.,"[-0.03869662  0.02284967 -0.04199143 ... -0.02984204 -0.01685198
 -0.01025465]"
PID5BF29,PID,eccentricity,"Ich habe mehrere Angewohnheiten, die andere exzentrisch oder seltsam finden.","[-0.02166601 -0.00343988 -0.05020912 ... -0.02883794 -0.02967089
 -0.00398243]"
PID5BF30,PID,orderliness,"Mir wurde schon mal gesagt, dass ich zu viel Zeit damit verbringe, darauf zu achten, dass alles genau an seinem Platz ist.","[ 0.00826386  0.01839413 -0.06789745 ... -0.06482845 -0.01075485
 -0.01717165]"
PID5BF31,PID,separation insecurity,"Ich ertrage es nicht, allein gelassen zu werden â nicht mal fÃ¼r ein paar Stunden.","[ 0.02026247  0.02962865 -0.06048844 ...  0.00257184 -0.04024543
 -0.00185785]"
PID5BF32,PID,grandiosity,"Ich muss mich oft mit Leuten beschÃ¤ftigen, die weniger wichtig sind als ich","[-0.04279022  0.02992655 -0.03678355 ... -0.00659437  0.00535242
 -0.05424985]"
PID5BF33,PID,distractibility,Ich lasse mich leicht ablenken.,"[-0.03553616  0.03430479 -0.08182393 ... -0.0186183  -0.04547172
 -0.02399628]"
PID5BF34,PID,intimacy avoidance,"Ich beende Beziehungen, wenn sie enger werden.","[-0.01507714  0.01645239 -0.02340425 ... -0.02335292 -0.02823914
  0.00477286]"
PID5BF35,PID,perceptual dysregulation,"Wenn ich einen vertrauten Gegenstand anschaue, ist es manchmal so, als wÃ¼rde ich ihn zum ersten Mal sehen.","[-0.03675124  0.03168078 -0.03466819 ...  0.0014401  -0.01218724
 -0.01105086]"
PID5BF36,PID,orderliness,"Andere beschweren sich darÃ¼ber, dass bei mir alles genau durchgeplant sein muss.","[-0.00366902  0.02140035 -0.06507492 ... -0.02975201 -0.01801942
 -0.0328209 ]"
NEOFFI01,NEO,Neuroticism,Ich bin nicht leicht beunruhigt.,"[-0.0126171  -0.00363559 -0.0696277  ... -0.00905363 -0.01138986
 -0.0228343 ]"
NEOFFI02,NEO,Extraversion,Ich habe gerne viele Leute um mich herum.,"[-0.01515621  0.03123998 -0.06819423 ... -0.01043781 -0.03187257
  0.01113956]"
NEOFFI03,NEO,Openness,Ich mag meine Zeit nicht mit TagtrÃ¤umereien verschwenden.,"[-0.01532138  0.00134921 -0.08008976 ... -0.02782981 -0.04725692
 -0.01393986]"
NEOFFI04,NEO,Agreeableness,"Ich versuche zu jedem, dem ich begegne, freundlich zu sein.","[-0.03568195  0.00045884 -0.02526274 ... -0.02101419 -0.05652058
  0.00432488]"
NEOFFI05,NEO,Conscientiousness,Ich halte meine Sachen ordentlich und sauber.,"[-0.00153154  0.01542706 -0.07769268 ... -0.04275977 -0.03361459
 -0.05990297]"
NEOFFI06,NEO,Neuroticism,Ich fÃ¼hle mich anderen oft unterlegen.,"[-0.05443035  0.0192303  -0.05387382 ... -0.03631432 -0.01124256
 -0.05043619]"
NEOFFI07,NEO,Extraversion,Ich bin leicht zum Lachen zu bringen.,"[-0.03785395  0.03087923 -0.02831167 ... -0.01034886 -0.03584453
 -0.03984384]"
