"itemID","scaleID","type","item_de","item_en"
"ADS01","ADS","ADS","Es haben mich Dinge beunruhigt die mir sonst nichts ausmachen.","I was bothered by things that usually don't bother me."
"ADS02","ADS","ADS","Ich habe kaum Appetit.","I did not feel like eating; my appetite was poor."
"ADS03","ADS","ADS","Ich kann meine trübsinnige Laune nicht loswerden, obwohl meine Freunde oder Familie versuchten, mich aufzumuntern.","I felt that I could not shake off the blues even with help from my family or friends."
"ADS04","ADS","ADS","Ich komme mir genauso gut vor wie andere.","I felt that I was just as good as other people."
"ADS05","ADS","ADS","Ich habe Mühe, mich zu konzentrieren.","I had trouble keeping my mind on what I was doing."
"ADS06","ADS","ADS","Ich bin deprimiert oder niedergeschlagen.","I felt depressed."
"ADS07","ADS","ADS","Alles ist anstrengend für mich.","I felt that everything I did was an effort."
"ADS08","ADS","ADS","Ich denke voller Hoffnung an die Zukunft.","I felt hopeful about the future."
"ADS09","ADS","ADS","Ich denke, mein Leben ist ein einziger Fehlschlag.","I thought my life had been a failure."
"ADS10","ADS","ADS","Ich habe Angst.","I felt fearful."
"ADS11","ADS","ADS","Ich habe schlecht geschlafen.","My sleep was restless."
"ADS12","ADS","ADS","Ich bin fröhlich gestimmt.","I was happy."
"ADS13","ADS","ADS","Ich habe weniger als sonst geredet.","I talked less than usual."
"ADS14","ADS","ADS","Ich fühle mich einsam.","I felt lonely."
"ADS15","ADS","ADS","Die Leute sind unfreundlich zu mir.","People were unfriendly."
"ADS16","ADS","ADS","Ich geniesse das Leben.","I enjoyed life."
"ADS17","ADS","ADS","Ich muss weinen.","I had crying spells."
"ADS18","ADS","ADS","Ich bin traurig.","I felt sad."
"ADS19","ADS","ADS","Ich habe das Gefühl, dass mich die Leute nicht leiden können.","I felt that people dislike me."
"ADS20","ADS","ADS","Ich kann mich zu nichts aufraffen.","I could not get ""going""."
"PID5BF01","PID","emotional lability","Ich reagiere viel emotionaler als fast alle anderen Menschen.","I have much stronger emotional reactions than almost everyone else."
"PID5BF02","PID","manipulativeness","Ich bin gut darin, Leute reinzulegen.","I’m good at conning people."
"PID5BF03","PID","irresponsibility","Ich gehe oft ziemlich nachlässig mit meinen Sachen und denen anderer um.","I’m often pretty careless with my own and others’ things."
"PID5BF04","PID","withdrawal","Ich halte Abstand zu Menschen.","I keep my distance from people."
"PID5BF05","PID","unusual beliefs","Ich sehe zwischen den Dingen oft ungewöhnliche Zusammenhänge, die anderen Menschen entgehen.","I often see unusual connections between things that most people miss."
"PID5BF06","PID","perfectionism","Auch wenn es andere zum Wahnsinn treibt, bestehe ich darauf, alles perfekt zu machen.","I keep approaching things the same way, even when it isn’t working."
"PID5BF07","PID","anxiousness","Ich mache mir ständig über irgendetwas Sorgen.","I’m always worrying about something."
"PID5BF08","PID","deceitfulness","Manchmal muss man vor anderen übertreiben, um weiterzukommen.","Sometimes you need to exaggerate to get ahead."
"PID5BF09","PID","impulsivity","Es kommt mir vor, als würde ich völlig impulsiv handeln.","I feel like I act totally on impulse."
"PID5BF10","PID","anhedonia","Nichts scheint mich wirklich zu interessieren.","Nothing seems to interest me very much."
"PID5BF11","PID","eccentricity","Man hat mir gesagt, dass meine Art zu denken wirklich seltsam ist.","People have told me that I think about things in a really strange way."
"PID5BF12","PID","rigidity","Es ist mir wichtig, dass Dinge auf eine ganz bestimmte Weise erledigt werden.","Even though it drives other people crazy, I insist on absolute perfection in everything I do."
"PID5BF13","PID","separation insecurity","Ich mache mir viele Sorgen darüber, allein zu sein.","I worry a lot about being alone."
"PID5BF14","PID","grandiosity","Es steht mir zu, besonders behandelt zu werden.","I deserve special treatment."
"PID5BF15","PID","distractibility","Ich verliere in Gesprächen den Faden, weil mich andere Dinge ablenken.","I lose track of conversations because other things catch my attention."
"PID5BF16","PID","intimacy avoidance","Ich halte romantische Gefühle lieber aus meinem Leben heraus.","I prefer to keep romance out of my life."
"PID5BF17","PID","perceptual dysregulation","Es ist komisch, aber manchmal kommt es mir vor, dass alltägliche Gegenstände eine andere Form haben als sonst.","It’s weird, but sometimes ordinary objects seem to be a different shape than usual."
"PID5BF18","PID","perfectionism","Ich versuche Dinge weiter zu perfektionieren, auch wenn ich sie wahrscheinlich schon so gut wie möglich hinbekommen habe.","I get stuck on one way of doing things, even when it’s clear it won’t work."
"PID5BF19","PID","emotional lability","Ich werde schnell emotional, oft aus geringstem Anlass.","I get emotional easily, often for very little reason."
"PID5BF20","PID","manipulativeness","Es fällt mir leicht, andere auszunutzen.","It is easy for me to take advantage of others."
"PID5BF21","PID","irresponsibility","Ich vergesse oft, meine Rechnungen zu bezahlen.","I often forget to pay my bills."
"PID5BF22","PID","withdrawal","Ich mag es nicht, Zeit mit anderen zu verbringen.","I don’t like spending time with others."
"PID5BF23","PID","unusual beliefs","Ich hatte einige wirklich seltsame Erlebnisse, die sehr schwer zu erklären sind.","I’ve had some really weird experiences that are very difficult to explain."
"PID5BF24","PID","rigidity","Ich habe für viele alltägliche Verhaltensweisen strikte Regeln.","I keep trying to make things perfect, even when I've gotten them as good as they're likely to get."
"PID5BF25","PID","anxiousness","Ich mache mir über fast alles Sorgen.","I worry about almost everything."
"PID5BF26","PID","deceitfulness","Ich biege mir die Wahrheit zurecht, wenn es zu meinem Vorteil ist.","I’ll stretch the truth if it’s to my advantage."
"PID5BF27","PID","impulsivity","Obwohl ich es eigentlich besser weiß, treffe ich immer wieder überstürzte Entscheidungen.","Even though I know better, I can’t stop making rash decisions."
"PID5BF28","PID","anhedonia","Ich bin selten von irgendetwas begeistert.","I rarely get enthusiastic about anything."
"PID5BF29","PID","eccentricity","Ich habe mehrere Angewohnheiten, die andere exzentrisch oder seltsam finden.","I have several habits that others find eccentric or strange."
"PID5BF30","PID","orderliness","Mir wurde schon mal gesagt, dass ich zu viel Zeit damit verbringe, darauf zu achten, dass alles genau an seinem Platz ist.","I've been told that I spend too much time making sure things are exactly in place."
"PID5BF31","PID","separation insecurity","Ich ertrage es nicht, allein gelassen zu werden – nicht mal für ein paar Stunden.","I can’t stand being left alone, even for a few hours."
"PID5BF32","PID","grandiosity","Ich muss mich oft mit Leuten beschäftigen, die weniger wichtig sind als ich","I often have to deal with people who are less important than me."
"PID5BF33","PID","distractibility","Ich lasse mich leicht ablenken.","I am easily distracted."
"PID5BF34","PID","intimacy avoidance","Ich beende Beziehungen, wenn sie enger werden.","I break off relationships if they start to get close."
"PID5BF35","PID","perceptual dysregulation","Wenn ich einen vertrauten Gegenstand anschaue, ist es manchmal so, als würde ich ihn zum ersten Mal sehen.","Sometimes when I look at a familiar object, it’s somehow like I’m seeing it for the first time."
"PID5BF36","PID","orderliness","Andere beschweren sich darüber, dass bei mir alles genau durchgeplant sein muss.","People complain about my need to have everything all arranged."
"NEOFFI01","NEO","Neuroticism","Ich bin nicht leicht beunruhigt.","I am not a worrier."
"NEOFFI02","NEO","Extraversion","Ich habe gerne viele Leute um mich herum.","I like to have a lot of people around me."
"NEOFFI03","NEO","Openness","Ich mag meine Zeit nicht mit Tagträumereien verschwenden.","I don't like to waste my time daydreaming."
"NEOFFI04","NEO","Agreeableness","Ich versuche zu jedem, dem ich begegne, freundlich zu sein.","I try to be courteous to everyone I meet."
